[ERROR] - 2017-01-08 14:41:48,287 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 14:41:48,681 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 14:41:48,749 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 14:42:15,277 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 14:42:15,342 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:43,775 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:43,995 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:44,276 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:44,486 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:44,890 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:45,796 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:46,039 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:46,548 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:46,692 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:46,952 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:47,396 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:47,996 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:48,264 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:48,790 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:49,104 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:49,493 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:50,022 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
[ERROR] - 2017-01-08 15:24:50,334 - CefSharp.WinForms.Example.Mapper.RawDataFactoryMapper.insertData - Authentication to host '10.211.55.2' for user 'root' using method 'mysql_native_password' failed with message: Access denied for user 'root'@'windows-7.shared' (using password: YES)
